#TYPE System.Data.DataRow
"Номер заявки","Статус","Дата регистрации","Тип обращения","Сервис","Краткое описание проблемы","Срок решения","Просрочен","Общее время обработки (мин.)","Максимальное время обработки группой (мин.)","Минимальное время обработки группой (мин.)","Группа","Дата перевода на группу","Время обработки группой (мин.)"
"TT16907299","Закрыта","22.09.2021 18:57:34","Претензия","Технологическая заявка","Длительные проблемы с сетью","22.09.2022 18:57:34","нет","484","484","484","Technology TT","23.09.2021 3:01:44","484"
"TT16907026","Закрыта","22.09.2021 18:12:39","Претензия","Технологическая заявка","Удержание MNP – Отмена переноса номера по желанию абонента (внутренний MNP)","22.01.2022 10:12:39","нет","529","529","529","Technology TT","23.09.2021 3:01:44","529"
"TT16902324","Закрыта","22.09.2021 10:27:16","Администрирование","Администрирование B2C","Корректировка регистрационных данных","24.09.2021 10:27:16","нет","1393","1393","1393","OBO","23.09.2021 9:40:57","1393"
"TT16914738","Закрыта","23.09.2021 17:30:47","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","28.09.2021 17:30:47","нет","197","197","197","OBO","23.09.2021 20:47:57","197"
"TT16911025","Закрыта","23.09.2021 11:15:25","Претензия","Тарификация","Местные вызовы","27.09.2021 11:15:25","нет","149","59","59","NPD_CC_PCI_troubles","23.09.2021 13:14:30","59"
"TT16911025","Закрыта","23.09.2021 11:15:25","Претензия","Тарификация","Местные вызовы","27.09.2021 11:15:25","нет","149","60","30","OBO","23.09.2021 13:44:07","90"
"TT16906537","Закрыта","22.09.2021 17:09:46","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","22.01.2022 9:09:46","нет","592","592","592","Technology TT","23.09.2021 3:01:44","592"
"TT16904819","Закрыта","22.09.2021 14:18:51","Претензия","Тарификация","Ошибка в установленной тарификации","26.09.2021 14:18:51","нет","1282","1156","110","OBO","23.09.2021 11:40:49","1266"
"TT16904819","Закрыта","22.09.2021 14:18:51","Претензия","Тарификация","Ошибка в установленной тарификации","26.09.2021 14:18:51","нет","1282","16","16","Central Product B2B","22.09.2021 16:24:15","16"
"TT16906264","Закрыта","22.09.2021 16:41:30","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","22.01.2022 8:41:30","нет","620","620","620","Technology TT","23.09.2021 3:01:44","620"
"TT16897175","Закрыта","21.09.2021 15:27:01","Претензия","Телефония","Исходящие МГ/МН вызовы","24.09.2021 15:27:01","нет","3022","169","169","OBO","23.09.2021 17:49:12","169"
"TT16897175","Закрыта","21.09.2021 15:27:01","Претензия","Телефония","Исходящие МГ/МН вызовы","24.09.2021 15:27:01","нет","3022","2853","2853","Tech CHE","23.09.2021 15:00:57","2853"
"TT16905280","Закрыта","22.09.2021 15:02:41","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","22.01.2022 7:02:39","нет","719","719","719","Technology TT","23.09.2021 3:01:44","719"
"TT16903756","Закрыта","22.09.2021 12:27:37","Администрирование","Администрирование B2C","Корректировка регистрационных данных","24.09.2021 12:27:37","нет","1265","1265","1265","BO MOS","23.09.2021 9:32:53","1265"
"TT16912431","Закрыта","23.09.2021 13:20:19","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","28.09.2021 13:20:19","нет","113","113","113","OBO","23.09.2021 15:13:50","113"
"TT16912588","Закрыта","23.09.2021 13:35:41","Претензия","Передача данных","Нет соединения 4G","26.09.2021 13:35:41","нет","104","104","104","OBO","23.09.2021 15:19:30","104"
"TT16905353","Закрыта","22.09.2021 15:08:31","Претензия","NPS","Передача данных - Низкая скорость","22.09.2022 15:08:31","нет","712","712","712","NPS","23.09.2021 3:00:39","712"
"TT16906374","Закрыта","22.09.2021 16:54:06","Претензия","Технологическая заявка","Низкая скорость передачи данных","22.01.2022 8:54:06","нет","607","607","607","Technology TT","23.09.2021 3:01:44","607"
"TT16903757","Закрыта","22.09.2021 12:27:41","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","22.01.2022 4:27:41","нет","874","874","874","Technology TT","23.09.2021 3:01:44","874"
"TT16904391","Закрыта","22.09.2021 13:33:09","Претензия","Телефония","Не поступают входящие вызовы","25.09.2021 13:33:09","нет","1371","420","420","OBO","23.09.2021 12:24:37","420"
"TT16904391","Закрыта","22.09.2021 13:33:09","Претензия","Телефония","Не поступают входящие вызовы","25.09.2021 13:33:09","нет","1371","951","951","Tech KYA-ETK","23.09.2021 5:24:50","951"
"TT16914323","Закрыта","23.09.2021 16:39:49","Администрирование","Администрирование B2C","Ошибочный наличный платёж","24.09.2021 0:39:49","нет","151","151","151","OBO","23.09.2021 19:13:25","151"
"TT16894055","Закрыта","21.09.2021 10:48:13","Администрирование","Документация В2С","Копии документов для Tele2","24.09.2021 10:48:13","нет","3333","3333","3333","OBO","23.09.2021 18:21:50","3333"
"TT16908194","Закрыта","22.09.2021 23:06:12","Претензия","Технологическая заявка","Низкая скорость передачи данных","22.01.2022 15:06:12","нет","235","235","235","Technology TT","23.09.2021 3:01:44","235"
"TT16909306","Закрыта","23.09.2021 8:08:19","Претензия","Тарификация","Роуминг","27.09.2021 8:08:19","нет","188","188","188","OBO","23.09.2021 11:16:58","188"
"TT16904263","Закрыта","22.09.2021 13:20:26","Претензия","NPS","Передача данных - Низкая скорость","22.09.2022 13:20:26","нет","820","820","820","NPS","23.09.2021 3:00:39","820"
"TT16900998","Закрыта","22.09.2021 7:47:02","Администрирование","Одобрение ЭРФ","Переоформление","23.09.2021 7:47:02","нет","1231","1231","1231","OBO","23.09.2021 4:18:20","1231"
"TT16907339","Закрыта","22.09.2021 19:03:46","Претензия","Технологическая заявка","Низкая скорость передачи данных","22.01.2022 11:03:46","нет","478","478","478","Technology TT","23.09.2021 3:01:44","478"
"TT16907281","Закрыта","22.09.2021 18:53:57","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","22.01.2022 10:53:57","нет","488","488","488","Technology TT","23.09.2021 3:01:44","488"
"TT16893247","Закрыта","21.09.2021 9:23:22","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (без перечисления)","01.10.2021 9:23:22","нет","3104","3104","3104","OBO","23.09.2021 13:07:55","3104"
"TT16902937","Закрыта","22.09.2021 11:17:17","Претензия","Телефония","Недостаточно средств","25.09.2021 11:17:17","нет","1870","1870","1870","OBO","23.09.2021 18:27:30","1870"
"TT16868798","Закрыта","17.09.2021 15:48:31","Претензия","Письменная претензия","Книга жалоб","29.09.2021 15:48:31","нет","8367","8367","8367","OBO","23.09.2021 14:49:01","8367"
"TT16904972","Закрыта","22.09.2021 14:33:37","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","27.09.2021 14:33:37","нет","222","222","222","OBO","23.09.2021 16:11:07","222"
"TT16908144","Закрыта","22.09.2021 22:41:07","Претензия","Технологическая заявка","Низкая скорость передачи данных","22.01.2022 14:41:07","нет","260","260","260","Technology TT","23.09.2021 3:01:44","260"
"TT16903593","Закрыта","22.09.2021 12:11:00","Претензия","MNP","После переноса в Tele2 не работают услуги","25.09.2021 12:11:00","нет","770","770","770","OBO","23.09.2021 18:31:10","770"
"TT16911091","Закрыта","23.09.2021 11:21:53","Претензия","Черный список КЦ","Внесение абонента в черный список","23.09.2021 13:21:53","нет","89","89","89","Черный список КЦ","23.09.2021 12:50:12","89"
"TT16905637","Закрыта","22.09.2021 15:37:38","Администрирование","Администрирование B2C","Корректировка регистрационных данных","24.09.2021 15:37:38","нет","1439","1439","1439","OBO","23.09.2021 15:36:18","1439"
