#TYPE System.Data.DataRow
"Номер заявки","Статус","Дата регистрации","Тип обращения","Сервис","Краткое описание проблемы","Срок решения","Просрочен","Общее время обработки (мин.)","Максимальное время обработки группой (мин.)","Минимальное время обработки группой (мин.)","Группа","Дата перевода на группу","Время обработки группой (мин.)"
"TT16861808","Закрыта","16.09.2021 17:26:36","Администрирование","Администрирование B2B","Подключение услуги РТК 8-800","03.10.2021 17:26:36","нет","5342","5342","5342","CKBO B2B","20.09.2021 10:28:58","5342"
"TT16879354","Закрыта","19.09.2021 12:43:12","Претензия","Технологическая заявка","Удержание MNP – проблемы с покрытием (интернет)","19.01.2022 4:43:12","нет","858","858","858","Technology TT","20.09.2021 3:01:38","858"
"TT16888842","Закрыта","20.09.2021 16:28:03","Администрирование","Администрирование B2C","Корректировка регистрационных данных","22.09.2021 16:28:03","нет","244","244","244","OBO","20.09.2021 20:32:18","244"
"TT16884137","Закрыта","20.09.2021 9:33:15","Администрирование","Администрирование B2C","Корректировка регистрационных данных","22.09.2021 9:33:15","нет","239","239","239","OBO","20.09.2021 13:32:04","239"
"TT16887287","Закрыта","20.09.2021 13:42:34","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","25.09.2021 13:42:34","нет","121","121","121","OBO","20.09.2021 15:43:41","121"
"TT16877589","Закрыта","19.09.2021 7:49:48","Претензия","Контент","Абонент ничего не заказывал","21.09.2021 19:49:48","нет","121","121","121","OBO","20.09.2021 4:40:59","121"
"TT16878603","Закрыта","19.09.2021 10:59:46","Администрирование","Администрирование B2C","Заявка на замену сим пользователю (не владельцу по Договору)","24.09.2021 10:59:46","нет","415","415","415","OBO","20.09.2021 17:53:50","415"
"TT16813689","Закрыта","10.09.2021 12:33:36","Администрирование","Администрирование B2C","Перечисление на банковские реквизиты","25.09.2021 12:33:36","нет","14364","14364","14364","BO MOS","20.09.2021 11:57:07","14364"
"TT16881445","Закрыта","19.09.2021 18:05:46","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","24.09.2021 18:05:46","нет","945","945","945","OBO","20.09.2021 9:50:31","945"
"TT16883596","Закрыта","20.09.2021 8:27:41","Администрирование","Администрирование B2B","Обновление ДКП","21.09.2021 8:27:41","нет","43","43","43","B2B Admin","20.09.2021 9:10:19","43"
"TT16869963","Закрыта","17.09.2021 18:35:32","Претензия","CCB","Обратная связь на работу оператора КЦ","22.09.2021 18:35:32","нет","4049","4049","4049","Мониторинг","20.09.2021 14:04:15","4049"
