#TYPE System.Data.DataRow
"Номер заявки","Статус","Дата регистрации","Тип обращения","Сервис","Краткое описание проблемы","Срок решения","Просрочен","Общее время обработки (мин.)","Максимальное время обработки группой (мин.)","Минимальное время обработки группой (мин.)","Группа","Дата перевода на группу","Время обработки группой (мин.)"
"TT16895031","Закрыта","21.09.2021 12:04:03","Претензия","NPS","Передача данных - Нет соединения","21.09.2022 12:04:03","нет","896","896","896","NPS","22.09.2021 3:00:55","896"
"TT16899062","Закрыта","21.09.2021 19:12:26","Претензия","Технологическая заявка","Поиск сети (покрытие неустойчивое/покрытия нет)","21.01.2022 11:12:26","нет","469","469","469","Technology TT","22.09.2021 3:01:52","469"
"TT16897033","Закрыта","21.09.2021 15:12:18","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","21.01.2022 7:12:18","нет","709","709","709","Technology TT","22.09.2021 3:01:52","709"
"TT16894660","Закрыта","21.09.2021 11:37:23","Претензия","Технологическая заявка","Слабое покрытие в помещении","21.01.2022 3:37:23","нет","924","924","924","Technology TT","22.09.2021 3:01:52","924"
"TT16892091","Закрыта","21.09.2021 7:47:34","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","26.09.2021 7:47:34","нет","91","91","91","OBO","22.09.2021 11:44:10","91"
"TT16874146","Закрыта","18.09.2021 13:36:40","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","23.09.2021 13:36:40","нет","5909","5909","5909","BO MOS","22.09.2021 16:05:42","5909"
"TT16862699","Закрыта","16.09.2021 19:35:23","Претензия","Письменная претензия","Ответ на письменную претензию","16.10.2021 19:35:23","нет","8238","8238","8238","OBO","22.09.2021 14:16:52","8238"
"TT16881585","Закрыта","19.09.2021 18:38:14","Претензия","Сеть","Поиск сети","22.09.2021 18:38:14","нет","3888","1011","29","OBO","22.09.2021 11:26:52","1096"
"TT16881585","Закрыта","19.09.2021 18:38:14","Претензия","Сеть","Поиск сети","22.09.2021 18:38:14","нет","3888","1395","17","Tech NIN","22.09.2021 10:30:22","2792"
"TT16902801","Закрыта","22.09.2021 11:08:18","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","27.09.2021 11:08:18","нет","136","136","136","OBO","22.09.2021 13:24:18","136"
"TT16842784","Закрыта","14.09.2021 12:22:24","Администрирование","Администрирование B2C","Перечисление на банковские реквизиты","29.09.2021 12:22:24","нет","11643","11643","11643","OBO","22.09.2021 16:20:40","11643"
"TT16905295","Закрыта","22.09.2021 15:03:24","Претензия","Тарификация","Текущие акции компании","26.09.2021 15:03:24","нет","93","93","93","OBO","22.09.2021 16:36:45","93"
"TT16896179","Закрыта","21.09.2021 13:42:14","Претензия","CCB","Обратная связь на работу оператора КЦ","26.09.2021 13:42:14","нет","1254","1254","1254","Мониторинг","22.09.2021 10:36:36","1254"
"TT16891074","Закрыта","21.09.2021 0:51:17","Претензия","Телефония","Исходящие МГ/МН вызовы","24.09.2021 0:51:17","нет","2204","659","659","Tech KLG","21.09.2021 11:50:24","659"
"TT16891074","Закрыта","21.09.2021 0:51:17","Претензия","Телефония","Исходящие МГ/МН вызовы","24.09.2021 0:51:17","нет","2204","1545","1545","OBO","22.09.2021 13:35:55","1545"
"TT16903974","Закрыта","22.09.2021 12:51:05","Администрирование","Администрирование B2C","Переформление по смерти абонента","27.09.2021 12:51:05","нет","203","203","203","OBO","22.09.2021 17:26:20","203"
"TT16902548","Закрыта","22.09.2021 10:47:35","Администрирование","Администрирование B2C","Переформление по смерти абонента","27.09.2021 10:47:35","нет","122","122","122","OBO","22.09.2021 12:49:48","122"
"TT16903958","Закрыта","22.09.2021 12:48:35","Администрирование","Администрирование B2C","Ошибочный наличный платёж","22.09.2021 20:48:35","нет","38","38","38","OBO","22.09.2021 13:26:47","38"
"TT16830729","Закрыта","13.09.2021 7:30:28","Претензия","Запрос надзорного органа","Несрочный запрос","04.10.2021 7:30:28","нет","11793","1808","1808","OBO","15.09.2021 11:15:55","1808"
"TT16830729","Закрыта","13.09.2021 7:30:28","Претензия","Запрос надзорного органа","Несрочный запрос","04.10.2021 7:30:28","нет","11793","9985","9985","Юр Сибирь","22.09.2021 9:40:45","9985"
"TT16846624","Закрыта","14.09.2021 19:58:46","Администрирование","Администрирование B2C","Перечисление на банковские реквизиты","29.09.2021 19:58:46","нет","11184","11184","11184","BO MOS","22.09.2021 14:22:40","11184"
"TT16897286","Закрыта","21.09.2021 15:40:17","Администрирование","Администрирование B2C","Корректировка регистрационных данных","23.09.2021 15:40:17","нет","1402","1402","1402","OBO","22.09.2021 15:02:34","1402"
"TT16897077","Закрыта","21.09.2021 15:16:58","Претензия","CCB","Обратная связь на работу оператора КЦ","26.09.2021 15:16:58","нет","1252","1252","1252","Мониторинг","22.09.2021 12:08:46","1252"
"TT16903736","Закрыта","22.09.2021 12:24:49","Администрирование","Администрирование B2C","Ошибочный наличный платёж","22.09.2021 20:24:49","нет","61","61","61","OBO","22.09.2021 13:25:00","61"
"TT16872953","Закрыта","18.09.2021 10:56:38","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","23.09.2021 10:56:38","нет","5700","5700","5700","BO MOS","22.09.2021 9:56:07","5700"
"TT16883107","Закрыта","20.09.2021 6:26:22","Администрирование","Администрирование B2B","Запрос компенсации","26.09.2021 6:26:22","нет","1174","88","88","Corp NSK","21.09.2021 11:26:27","88"
"TT16883107","Закрыта","20.09.2021 6:26:22","Администрирование","Администрирование B2B","Запрос компенсации","26.09.2021 6:26:22","нет","1174","733","43","CKBO B2B","22.09.2021 4:49:12","776"
"TT16883107","Закрыта","20.09.2021 6:26:22","Администрирование","Администрирование B2B","Запрос компенсации","26.09.2021 6:26:22","нет","1174","310","310","B2B Admin","21.09.2021 16:36:02","310"
"TT16903405","Закрыта","22.09.2021 11:52:25","Претензия","Телефония","Обрыв звонка","25.09.2021 11:52:25","нет","258","243","243","Tech ARH","22.09.2021 15:55:32","243"
"TT16903405","Закрыта","22.09.2021 11:52:25","Претензия","Телефония","Обрыв звонка","25.09.2021 11:52:25","нет","258","15","15","OBO","22.09.2021 16:10:08","15"
"TT16897042","Закрыта","21.09.2021 15:13:23","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","21.01.2022 7:13:23","нет","708","708","708","Technology TT","22.09.2021 3:01:52","708"
"TT16907443","Закрыта","22.09.2021 19:26:55","Претензия","Контент","Абонент ничего не заказывал","25.09.2021 7:26:55","нет","12","12","12","OBO","22.09.2021 20:38:24","12"
"TT16898718","Закрыта","21.09.2021 18:18:13","Администрирование","Администрирование B2C","Корректировка регистрационных данных","23.09.2021 18:18:13","нет","1337","1337","1337","OBO","22.09.2021 16:35:53","1337"
"TT16901104","Закрыта","22.09.2021 8:09:42","Администрирование","Администрирование B2C","Ошибочный наличный платёж","22.09.2021 16:09:42","нет","147","147","147","OBO","22.09.2021 10:36:38","147"
"TT16897240","Закрыта","21.09.2021 15:34:40","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","26.09.2021 15:34:40","нет","212","212","212","OBO","22.09.2021 10:05:26","212"
"TT16893462","Закрыта","21.09.2021 9:49:34","Претензия","CCB","Жалоба на сотрудника телемаркетинга","22.09.2021 9:49:34","нет","1032","1032","1032","Technology TT","22.09.2021 3:01:52","1032"
"TT16904547","Закрыта","22.09.2021 13:49:50","Претензия","Контент","Абонент ничего не заказывал","25.09.2021 1:49:50","нет","36","36","36","OBO","22.09.2021 20:46:09","36"
"TT16899065","Закрыта","21.09.2021 19:12:38","Претензия","CCB","Жалоба на сотрудника телемаркетинга","22.09.2021 19:12:38","нет","469","469","469","Technology TT","22.09.2021 3:01:52","469"
"TT16847040","Закрыта","14.09.2021 21:44:26","Администрирование","Администрирование B2C","Возврат денежных средств","29.09.2021 21:44:26","нет","11111","11111","11111","BO MOS","22.09.2021 14:55:45","11111"
"TT16897646","Закрыта","21.09.2021 16:15:58","Администрирование","Администрирование B2C","Корректировка регистрационных данных","23.09.2021 16:15:58","нет","1402","1402","1402","OBO","22.09.2021 15:38:31","1402"
"TT16819565","Закрыта","11.09.2021 9:30:57","Претензия","Письменная претензия","Ответ на письменную претензию","11.10.2021 9:30:57","нет","16148","16148","16148","OBO","22.09.2021 14:38:25","16148"
"TT16898472","Закрыта","21.09.2021 17:45:48","Администрирование","Администрирование B2C","Корректировка регистрационных данных","23.09.2021 17:45:48","нет","1354","1354","1354","OBO","22.09.2021 16:19:48","1354"
"TT16897153","Закрыта","21.09.2021 15:25:10","Претензия","CCB","Обратная связь на работу оператора КЦ","26.09.2021 15:25:10","нет","1872","1872","1872","Мониторинг","22.09.2021 22:37:37","1872"
"TT16898025","Закрыта","21.09.2021 16:54:08","MVNO","SMS (MVNO)","Не получить от Банков/Сервисов","22.09.2021 16:54:08","нет","1299","1175","1175","GPB L2","22.09.2021 14:36:53","1175"
"TT16898025","Закрыта","21.09.2021 16:54:08","MVNO","SMS (MVNO)","Не получить от Банков/Сервисов","22.09.2021 16:54:08","нет","1299","124","124","OBO","21.09.2021 19:01:12","124"
"TT16834019","Закрыта","13.09.2021 12:55:44","Претензия","Письменная претензия","Ответ на письменную претензию","13.10.2021 12:55:44","нет","12823","12823","12823","OBO","22.09.2021 10:38:16","12823"
"TT16887231","Закрыта","20.09.2021 13:36:24","Претензия","Сеть","Поиск сети","23.09.2021 13:36:24","нет","2809","135","55","OBO","22.09.2021 12:25:00","190"
"TT16887231","Закрыта","20.09.2021 13:36:24","Претензия","Сеть","Поиск сети","23.09.2021 13:36:24","нет","2809","1288","1288","Tech ORB","22.09.2021 11:30:16","1288"
"TT16887231","Закрыта","20.09.2021 13:36:24","Претензия","Сеть","Поиск сети","23.09.2021 13:36:24","нет","2809","1331","1331","Tech SAM","21.09.2021 11:47:47","1331"
"TT16906390","Закрыта","22.09.2021 16:55:35","Претензия","Черный список КЦ","Внесение абонента в черный список","22.09.2021 18:55:35","нет","3","3","3","Черный список КЦ","22.09.2021 16:58:46","3"
"TT16896328","Закрыта","21.09.2021 13:58:51","Претензия","Сервисы","Проблема сим-карты","24.09.2021 13:58:51","нет","1341","232","64","Billing Support","22.09.2021 8:22:25","296"
"TT16896328","Закрыта","21.09.2021 13:58:51","Претензия","Сервисы","Проблема сим-карты","24.09.2021 13:58:51","нет","1341","550","550","Tech PRM","22.09.2021 7:18:21","550"
"TT16896328","Закрыта","21.09.2021 13:58:51","Претензия","Сервисы","Проблема сим-карты","24.09.2021 13:58:51","нет","1341","258","237","OBO","22.09.2021 12:19:12","495"
"TT16897102","Закрыта","21.09.2021 15:20:31","Администрирование","Администрирование B2C","Корректировка регистрационных данных","23.09.2021 15:20:31","нет","1387","1387","1387","OBO","22.09.2021 14:27:10","1387"
"TT16876413","Закрыта","18.09.2021 20:19:08","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","23.09.2021 20:19:08","нет","5406","5406","5406","BO MOS","22.09.2021 14:25:04","5406"
"TT16906968","Закрыта","22.09.2021 18:04:31","Претензия","Контент","Абонент ничего не заказывал","25.09.2021 6:04:31","нет","29","29","29","OBO","22.09.2021 19:22:48","29"
"TT16878721","Закрыта","19.09.2021 11:17:48","Претензия","Претензии к дилеру","Отсутствие сим карт","26.09.2021 11:17:48","нет","161","161","161","OBO","22.09.2021 12:03:02","161"
"TT16897623","Закрыта","21.09.2021 16:13:43","Претензия","Тарификация","Текущие акции компании","25.09.2021 16:13:43","нет","798","705","44","OBO","22.09.2021 5:31:52","749"
"TT16897623","Закрыта","21.09.2021 16:13:43","Претензия","Тарификация","Текущие акции компании","25.09.2021 16:13:43","нет","798","49","49","NPD_CC_PCI_troubles","21.09.2021 17:46:35","49"
"TT16893099","Закрыта","21.09.2021 9:06:14","Администрирование","Администрирование B2B","Переоформление с юр.лица на юр.лицо","22.09.2021 9:06:14","нет","1142","1142","1142","B2B Admin","22.09.2021 4:08:22","1142"
"TT16898694","Закрыта","21.09.2021 18:14:36","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","26.09.2021 18:14:36","нет","814","814","814","OBO","22.09.2021 7:48:42","814"
"TT16891479","Закрыта","21.09.2021 5:49:02","Претензия","Сеть","Поиск сети","24.09.2021 5:49:02","нет","1944","133","133","OBO","22.09.2021 14:13:02","133"
"TT16891479","Закрыта","21.09.2021 5:49:02","Претензия","Сеть","Поиск сети","24.09.2021 5:49:02","нет","1944","1811","1811","Tech OMS","22.09.2021 12:00:08","1811"
"TT16897553","Закрыта","21.09.2021 16:06:21","Претензия","Технологическая заявка","Поиск сети (покрытие неустойчивое/покрытия нет)","21.01.2022 8:06:21","нет","655","655","655","Technology TT","22.09.2021 3:01:52","655"
"TT16901679","Закрыта","22.09.2021 9:30:25","Претензия","Контент","Абонент ничего не заказывал","24.09.2021 21:30:25","нет","48","48","48","OBO","22.09.2021 18:26:23","48"
"TT16881558","Закрыта","19.09.2021 18:31:49","Претензия","Личный кабинет","Проблема в работе ЛК","23.09.2021 18:31:49","нет","3924","1484","182","OBO","22.09.2021 11:55:37","1851"
"TT16881558","Закрыта","19.09.2021 18:31:49","Претензия","Личный кабинет","Проблема в работе ЛК","23.09.2021 18:31:49","нет","3924","1395","678","WEB Support","22.09.2021 8:50:15","2073"
"TT16897732","Закрыта","21.09.2021 16:25:00","Претензия","CCB","Для Digital: помощь с заказом","22.09.2021 16:25:00","нет","1178","1178","1178","E-Shop","22.09.2021 12:03:49","1178"
"TT16905340","Закрыта","22.09.2021 15:07:25","Претензия","Контент","Абонент ничего не заказывал","25.09.2021 3:07:25","нет","99","99","99","OBO","22.09.2021 21:45:01","99"
"TT16892145","Закрыта","21.09.2021 7:49:32","Претензия","Контент","Абонент ничего не заказывал","23.09.2021 19:49:32","нет","194","194","194","OBO","22.09.2021 5:14:54","194"
"TT16894041","Закрыта","21.09.2021 10:47:25","Претензия","NPS","Передача данных - Нет соединения","21.09.2022 10:47:25","нет","973","973","973","NPS","22.09.2021 3:00:55","973"
"TT16904175","Закрыта","22.09.2021 13:11:54","Администрирование","Администрирование B2B","Перенос денежных средств","23.09.2021 13:11:54","нет","133","133","133","CKBO B2B","22.09.2021 15:24:40","133"
"TT16896654","Закрыта","21.09.2021 14:34:48","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","21.01.2022 6:34:48","нет","747","747","747","Technology TT","22.09.2021 3:01:52","747"
"TT16896959","Закрыта","21.09.2021 15:05:57","Претензия","Контент","Абонент ничего не заказывал","24.09.2021 3:05:57","нет","178","178","178","OBO","22.09.2021 16:04:46","178"
"TT16904761","Закрыта","22.09.2021 14:12:49","Претензия","Контент","Абонент ничего не заказывал","25.09.2021 2:12:49","нет","139","139","139","OBO","22.09.2021 17:02:58","139"
"TT16898469","Закрыта","21.09.2021 17:45:31","Претензия","CCB","Жалоба на сотрудника телемаркетинга","22.09.2021 17:45:31","нет","556","556","556","Technology TT","22.09.2021 3:01:52","556"
"TT16898023","Закрыта","21.09.2021 16:53:52","Претензия","NPS","Передача данных - Нет соединения","21.09.2022 16:53:52","нет","607","607","607","NPS","22.09.2021 3:00:55","607"
"TT16874948","Закрыта","18.09.2021 15:26:09","Претензия","CCB","Обратная связь на работу оператора КЦ","23.09.2021 15:26:09","нет","5383","5383","5383","Мониторинг","22.09.2021 9:09:20","5383"
"TT16898842","Закрыта","21.09.2021 18:35:08","Претензия","Технологическая заявка","Претензии к дилеру - Сотрудника ЦО нет на рабочем месте","28.09.2021 18:35:08","нет","506","506","506","Technology TT","22.09.2021 3:01:52","506"
"TT16905913","Закрыта","22.09.2021 16:05:18","Администрирование","Одобрение ЭРФ","Переоформление","23.09.2021 16:05:18","нет","89","89","89","OBO","22.09.2021 17:34:40","89"
"TT16897946","Закрыта","21.09.2021 16:46:39","Претензия","Технологическая заявка","Поиск сети (покрытие неустойчивое/покрытия нет)","21.01.2022 8:46:39","нет","615","615","615","Technology TT","22.09.2021 3:01:52","615"
"TT16906604","Закрыта","22.09.2021 17:16:52","Претензия","Передача данных","Нет соединения 4G","25.09.2021 17:16:52","нет","73","73","73","OBO","22.09.2021 18:29:17","73"
"TT16882796","Закрыта","20.09.2021 3:50:12","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","30.09.2021 3:50:12","нет","2833","2833","2833","OBO","22.09.2021 3:03:19","2833"
"TT16899936","Закрыта","21.09.2021 23:11:48","Претензия","Контент","Абонент ничего не заказывал","24.09.2021 11:11:48","нет","571","571","571","OBO","22.09.2021 10:37:04","571"
"TT16898185","Закрыта","21.09.2021 17:11:41","Претензия","NPS","Передача данных - Нет соединения","21.09.2022 17:11:41","нет","589","589","589","NPS","22.09.2021 3:00:55","589"
"TT16877886","Закрыта","19.09.2021 9:02:23","MVNO","SMS (MVNO)","Не отправить SMS","20.09.2021 9:02:23","нет","4799","4689","4689","RT L2","22.09.2021 17:01:57","4689"
"TT16877886","Закрыта","19.09.2021 9:02:23","MVNO","SMS (MVNO)","Не отправить SMS","20.09.2021 9:02:23","нет","4799","110","110","OBO","19.09.2021 10:52:01","110"
"TT16895143","Закрыта","21.09.2021 12:15:56","Претензия","Проблема с SPR","Статус услуги «Временно блокирована»","25.09.2021 12:15:56","нет","1213","493","36","OBO","22.09.2021 8:28:50","529"
"TT16895143","Закрыта","21.09.2021 12:15:56","Претензия","Проблема с SPR","Статус услуги «Временно блокирована»","25.09.2021 12:15:56","нет","1213","684","684","Billing Support","22.09.2021 7:52:07","684"
"TT16893459","Закрыта","21.09.2021 9:49:28","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","21.01.2022 1:49:28","нет","1032","1032","1032","Technology TT","22.09.2021 3:01:52","1032"
"TT16898245","Закрыта","21.09.2021 17:17:47","Администрирование","Администрирование B2C","Корректировка регистрационных данных","23.09.2021 17:17:47","нет","1358","1358","1358","OBO","22.09.2021 15:55:59","1358"
"TT16893628","Закрыта","21.09.2021 10:09:32","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","21.01.2022 2:09:32","нет","1012","1012","1012","Technology TT","22.09.2021 3:01:52","1012"
"TT16903769","Закрыта","22.09.2021 12:28:57","Администрирование","Администрирование B2B","Проведение корректировки по услуге закрытых периодов","24.09.2021 12:28:57","нет","25","25","25","CKBO B2B","22.09.2021 12:53:35","25"
"TT16896667","Закрыта","21.09.2021 14:35:48","Претензия","NPS","Передача данных - Низкая скорость","21.09.2022 14:35:48","нет","745","745","745","NPS","22.09.2021 3:00:55","745"
"TT16891686","Закрыта","21.09.2021 6:51:32","Претензия","CCB","Обратная связь на работу оператора КЦ","26.09.2021 6:51:32","нет","1814","1814","1814","Мониторинг","22.09.2021 13:05:37","1814"
"TT16890705","Закрыта","20.09.2021 21:37:21","Претензия","CCB","Для Digital: помощь с заказом","21.09.2021 21:37:21","нет","2222","2222","2222","E-Shop","22.09.2021 10:39:50","2222"
"TT16906708","Закрыта","22.09.2021 17:28:49","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","27.09.2021 17:28:49","нет","139","139","139","OBO","22.09.2021 19:47:42","139"
"TT16897123","Закрыта","21.09.2021 15:22:32","Претензия","Технологическая заявка","Низкая скорость передачи данных","21.01.2022 7:22:32","нет","699","699","699","Technology TT","22.09.2021 3:01:52","699"
"TT16888836","Закрыта","20.09.2021 16:27:42","Администрирование","Администрирование B2C","Перечисление на номер телефона","05.10.2021 16:27:42","нет","2760","2760","2760","OBO","22.09.2021 14:27:43","2760"
"TT16904367","Закрыта","22.09.2021 13:29:45","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","27.09.2021 13:29:45","нет","102","102","102","OBO","22.09.2021 15:11:10","102"
"TT16901834","Закрыта","22.09.2021 9:49:21","Претензия","Выгодно вместе","Не сработала/некорректная скидка","26.09.2021 9:49:21","нет","140","140","140","OBO","22.09.2021 12:09:43","140"
"TT16899781","Закрыта","21.09.2021 22:07:48","Администрирование","Администрирование B2B","Личный кабинет (управление)","22.09.2021 22:07:48","нет","1005","1005","1005","B2B Admin","22.09.2021 14:52:59","1005"
"TT16896267","Закрыта","21.09.2021 13:52:14","Претензия","NPS","Передача данных - Низкая скорость","21.09.2022 13:52:14","нет","788","788","788","NPS","22.09.2021 3:00:55","788"
