#TYPE System.Data.DataRow
"Номер заявки","Статус","Дата регистрации","Тип обращения","Сервис","Краткое описание проблемы","Срок решения","Просрочен","Общее время обработки (мин.)","Максимальное время обработки группой (мин.)","Минимальное время обработки группой (мин.)","Группа","Дата перевода на группу","Время обработки группой (мин.)"
"TT16919512","Закрыта","24.09.2021 12:14:35","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","29.09.2021 12:14:35","нет","240","240","240","OBO","24.09.2021 16:14:53","240"
"TT16920324","Назначена на группу","24.09.2021 13:15:37","Администрирование","Администрирование B2C","Перечисление на банковские реквизиты","09.10.2021 13:15:37","нет","","","","","",""
"TT16918998","Закрыта","24.09.2021 11:26:42","Претензия","Технологическая заявка","Удержание MNP – Отмена переноса номера по желанию абонента (внутренний MNP)","24.01.2022 3:26:42","нет","935","935","935","Technology TT","25.09.2021 3:01:21","935"
"TT16921357","Закрыта","24.09.2021 15:05:44","Администрирование","Администрирование B2B","Переоформление с юр.лица на физ.лицо","25.09.2021 15:05:44","нет","1373","1373","1373","B2B Admin","25.09.2021 13:58:17","1373"
"TT16916502","Закрыта","24.09.2021 3:20:25","Претензия","Проблема с SPR","Статус услуги «Временно блокирована»","28.09.2021 3:20:25","нет","174","174","174","OBO","24.09.2021 6:14:08","174"
"TT16918866","Закрыта","24.09.2021 11:12:30","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","29.09.2021 11:12:30","нет","94","94","94","OBO","24.09.2021 12:46:20","94"
"TT16922300","Закрыта","24.09.2021 16:45:50","Администрирование","Администрирование B2C","Корректировка регистрационных данных","26.09.2021 16:45:50","нет","1129","1129","1129","OBO","25.09.2021 11:34:28","1129"
"TT16920663","Назначена на группу","24.09.2021 13:52:28","Администрирование","Администрирование B2C","Перечисление на номер телефона","09.10.2021 13:52:28","нет","","","","","",""
"TT16920994","Возвращена на доработку","24.09.2021 14:26:03","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","29.09.2021 14:26:03","нет","1307","1307","1307","OBO","25.09.2021 12:13:03","1307"
"TT16917867","Закрыта","24.09.2021 9:29:39","Претензия","Контент","Абонент ничего не заказывал","26.09.2021 21:29:39","нет","104","104","104","OBO","25.09.2021 11:28:59","104"
"TT16918409","Закрыта","24.09.2021 10:26:37","Администрирование","Администрирование B2C","Ошибочный наличный платёж","24.09.2021 18:26:37","нет","54","54","54","OBO","24.09.2021 11:20:48","54"
"TT16922029","Закрыта","24.09.2021 16:15:18","Претензия","CAMEL/внутрисетевой роуминг","Нет исходящей связи","27.09.2021 16:15:18","нет","1281","1281","1281","OBO","25.09.2021 13:36:08","1281"
"TT16923131","Назначена на группу","24.09.2021 18:43:25","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","29.09.2021 18:43:25","нет","","","","","",""
"TT16922708","Закрыта","24.09.2021 17:35:32","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","29.09.2021 17:35:32","нет","881","881","881","OBO","25.09.2021 8:16:10","881"
"TT16916995","Закрыта","24.09.2021 7:10:55","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","29.09.2021 7:10:55","нет","99","99","99","OBO","24.09.2021 8:49:53","99"
