#TYPE System.Data.DataRow
"Номер заявки","Статус","Дата регистрации","Тип обращения","Сервис","Краткое описание проблемы","Срок решения","Просрочен","Общее время обработки (мин.)","Максимальное время обработки группой (мин.)","Минимальное время обработки группой (мин.)","Группа","Дата перевода на группу","Время обработки группой (мин.)"
"TT16926787","Закрыта","25.09.2021 12:31:53","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","30.09.2021 12:31:53","нет","22","22","22","OBO","25.09.2021 12:53:45","22"
"TT16926147","Закрыта","25.09.2021 11:08:16","Претензия","Контент","Абонент ничего не заказывал","27.09.2021 23:08:16","нет","7","7","7","OBO","25.09.2021 11:15:22","7"
"TT16925652","Закрыта","25.09.2021 10:04:05","Претензия","Технологическая заявка","Слабое покрытие в помещении","25.01.2022 2:04:04","нет","1017","1017","1017","Technology TT","26.09.2021 3:01:50","1017"
"TT16928526","Закрыта","25.09.2021 16:37:53","Претензия","CAMEL/внутрисетевой роуминг","Не зарегистрироваться в гостевой сети","28.09.2021 16:37:53","нет","50","50","50","OBO","25.09.2021 17:27:11","50"
"TT16928021","Закрыта","25.09.2021 15:16:41","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","30.09.2021 15:16:41","нет","59","59","59","OBO","25.09.2021 16:15:34","59"
"TT16926441","Закрыта","25.09.2021 11:47:03","Претензия","Технологическая заявка","Удержание MNP – Отмена переноса номера по желанию абонента (внутренний MNP)","25.01.2022 3:47:03","нет","914","914","914","Technology TT","26.09.2021 3:01:50","914"
"TT16929840","Закрыта","25.09.2021 21:40:36","Претензия","Технологическая заявка","Низкая скорость передачи данных","25.01.2022 13:40:36","нет","321","321","321","Technology TT","26.09.2021 3:01:50","321"
"TT16927680","Назначена на группу","25.09.2021 14:33:19","Претензия","Почта","Escalation_problem","","нет","","","","","",""
"TT16928569","Назначена на группу","25.09.2021 16:43:42","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","30.09.2021 16:43:42","нет","","","","","",""
"TT16926133","Закрыта","25.09.2021 11:06:33","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","30.09.2021 11:06:33","нет","348","348","348","OBO","25.09.2021 16:54:10","348"
"TT16927396","Назначена на группу","25.09.2021 13:52:33","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","25.11.2021 13:52:33","нет","","","","","",""
"TT16926635","Возвращена на доработку","25.09.2021 12:12:21","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","30.09.2021 12:12:21","нет","166","166","166","OBO","25.09.2021 14:58:00","166"
"TT16924948","Закрыта","25.09.2021 8:07:41","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (без перечисления)","05.10.2021 8:07:41","нет","590","590","590","OBO","25.09.2021 17:57:29","590"
"TT16929390","Назначена на группу","25.09.2021 19:24:07","MVNO","Передача данных (MVNO)","Нет соединения","28.09.2021 19:24:07","нет","14","14","14","OBO","25.09.2021 19:38:34","14"
"TT16927953","Закрыта","25.09.2021 15:07:34","Претензия","Технологическая заявка","Низкая скорость передачи данных","25.01.2022 7:07:34","нет","714","714","714","Technology TT","26.09.2021 3:01:50","714"
