#TYPE System.Data.DataRow
"Номер заявки","Статус","Дата регистрации","Тип обращения","Сервис","Краткое описание проблемы","Срок решения","Просрочен","Общее время обработки (мин.)","Максимальное время обработки группой (мин.)","Минимальное время обработки группой (мин.)","Группа","Дата перевода на группу","Время обработки группой (мин.)"
"TT16888842","Закрыта","20.09.2021 16:28:03","Администрирование","Администрирование B2C","Корректировка регистрационных данных","22.09.2021 16:28:03","нет","244","244","244","OBO","20.09.2021 20:32:18","244"
"TT16884137","Закрыта","20.09.2021 9:33:15","Администрирование","Администрирование B2C","Корректировка регистрационных данных","22.09.2021 9:33:15","нет","239","239","239","OBO","20.09.2021 13:32:04","239"
"TT16887287","Закрыта","20.09.2021 13:42:34","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","25.09.2021 13:42:34","нет","121","121","121","OBO","20.09.2021 15:43:41","121"
"TT16890566","Закрыта","20.09.2021 20:58:10","Претензия","Технологическая заявка","Низкая скорость передачи данных","20.01.2022 12:58:10","нет","363","363","363","Technology TT","21.09.2021 3:01:30","363"
"TT16890805","Закрыта","20.09.2021 22:13:25","Администрирование","Администрирование B2B","Бизнес окружение","21.09.2021 10:13:25","нет","305","305","305","OBO","21.09.2021 3:18:14","305"
"TT16889281","Закрыта","20.09.2021 17:12:26","Претензия","Технологическая заявка","Удержание MNP – Отмена переноса номера по желанию абонента (внутренний MNP)","20.01.2022 9:12:26","нет","589","589","589","Technology TT","21.09.2021 3:01:30","589"
"TT16883596","Закрыта","20.09.2021 8:27:41","Администрирование","Администрирование B2B","Обновление ДКП","21.09.2021 8:27:41","нет","43","43","43","B2B Admin","20.09.2021 9:10:19","43"
"TT16883219","Закрыта","20.09.2021 7:06:58","Администрирование","Администрирование B2B","Подключение услуги РТК 8-800","07.10.2021 7:06:58","нет","5264","4102","41","CKBO B2B","24.09.2021 7:51:51","5037"
"TT16883219","Закрыта","20.09.2021 7:06:58","Администрирование","Администрирование B2B","Подключение услуги РТК 8-800","07.10.2021 7:06:58","нет","5264","10","1","Corp KYA-ETK","21.09.2021 10:52:14","12"
"TT16883219","Закрыта","20.09.2021 7:06:58","Администрирование","Администрирование B2B","Подключение услуги РТК 8-800","07.10.2021 7:06:58","нет","5264","176","2","Admin СКВО В2В","21.09.2021 11:29:18","215"
"TT16891074","Закрыта","21.09.2021 0:51:17","Претензия","Телефония","Исходящие МГ/МН вызовы","24.09.2021 0:51:17","нет","2204","659","659","Tech KLG","21.09.2021 11:50:24","659"
"TT16891074","Закрыта","21.09.2021 0:51:17","Претензия","Телефония","Исходящие МГ/МН вызовы","24.09.2021 0:51:17","нет","2204","1545","1545","OBO","22.09.2021 13:35:55","1545"
"TT16888640","Закрыта","20.09.2021 16:06:50","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","20.01.2022 8:06:50","нет","655","655","655","Technology TT","21.09.2021 3:01:30","655"
"TT16887990","Закрыта","20.09.2021 14:59:53","Претензия","Черный список КЦ","Внесение абонента в черный список","20.09.2021 16:59:53","нет","8","8","8","Черный список КЦ","20.09.2021 15:07:26","8"
"TT16887485","Закрыта","20.09.2021 14:04:09","Администрирование","Администрирование B2C","Ошибочный наличный платёж","20.09.2021 22:04:09","нет","49","49","49","OBO","20.09.2021 14:53:07","49"
"TT16888600","Закрыта","20.09.2021 16:01:50","Администрирование","Администрирование B2C","Ошибочный наличный платёж","21.09.2021 0:01:50","нет","54","54","54","OBO","20.09.2021 16:55:54","54"
"TT16883680","Закрыта","20.09.2021 8:37:07","Претензия","Технологическая заявка","Низкая скорость передачи данных","20.01.2022 0:37:07","нет","1104","1104","1104","Technology TT","21.09.2021 3:01:30","1104"
"TT16884838","Внешний запрос","20.09.2021 10:39:58","Претензия","MNP","Жалобы на отказ переноса со стороны оператора донора","28.09.2021 10:39:58","нет","105","105","105","OBO","20.09.2021 12:24:26","105"
"TT16888750","Закрыта","20.09.2021 16:19:40","Администрирование","Администрирование B2C","Возврат денежных средств","05.10.2021 16:19:40","нет","4013","4013","4013","OBO","25.09.2021 7:10:22","4013"
"TT16887353","Ожидание информации","20.09.2021 13:48:44","Администрирование","Администрирование B2C","Возврат денежных средств","05.10.2021 13:48:44","нет","4009","4009","4009","OBO","23.09.2021 8:37:57","4009"
"TT16890248","Закрыта","20.09.2021 19:36:02","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","20.01.2022 11:36:02","нет","445","445","445","Technology TT","21.09.2021 3:01:30","445"
"TT16886448","Закрыта","20.09.2021 12:23:19","Претензия","MNP","Отмена переноса по желанию абонента B2C OUT (входящий)","21.09.2021 12:23:19","нет","262","262","262","Чел_MNP","20.09.2021 16:45:03","262"
"TT16883107","Закрыта","20.09.2021 6:26:22","Администрирование","Администрирование B2B","Запрос компенсации","26.09.2021 6:26:22","нет","1174","733","43","CKBO B2B","22.09.2021 4:49:12","776"
"TT16883107","Закрыта","20.09.2021 6:26:22","Администрирование","Администрирование B2B","Запрос компенсации","26.09.2021 6:26:22","нет","1174","88","88","Corp NSK","21.09.2021 11:26:27","88"
"TT16883107","Закрыта","20.09.2021 6:26:22","Администрирование","Администрирование B2B","Запрос компенсации","26.09.2021 6:26:22","нет","1174","310","310","B2B Admin","21.09.2021 16:36:02","310"
"TT16891185","Закрыта","21.09.2021 2:26:24","Претензия","CCB","Обратная связь на работу оператора КЦ","26.09.2021 2:26:24","нет","633","633","633","Мониторинг","21.09.2021 12:59:12","633"
"TT16885035","Закрыта","20.09.2021 10:59:15","Претензия","Технологическая заявка","Низкая скорость передачи данных","20.01.2022 2:59:15","нет","962","962","962","Technology TT","21.09.2021 3:01:30","962"
"TT16887131","Закрыта","20.09.2021 13:27:28","Администрирование","Администрирование B2B","Проведение корректировки по услуге закрытых периодов","22.09.2021 13:27:28","нет","85","85","85","CKBO B2B","20.09.2021 14:52:52","85"
"TT16883597","Закрыта","20.09.2021 8:27:43","Претензия","Контент","Абонент ничего не заказывал","22.09.2021 20:27:43","нет","44","44","44","OBO","20.09.2021 13:49:40","44"
"TT16883645","Закрыта","20.09.2021 8:32:13","Администрирование","Одобрение ЭРФ","Переоформление","21.09.2021 8:32:13","нет","378","378","378","OBO","20.09.2021 14:50:03","378"
"TT16886840","Назначена на группу","20.09.2021 13:00:35","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","20.11.2021 13:00:35","нет","2096","2096","2096","OBO","21.09.2021 23:56:40","2096"
"TT16889156","В работе","20.09.2021 16:58:25","Администрирование","Администрирование B2B","Подключение услуги РТК 8-800","07.10.2021 16:58:25","нет","1132","380","0","CKBO B2B","21.09.2021 12:18:29","380"
"TT16889156","В работе","20.09.2021 16:58:25","Администрирование","Администрирование B2B","Подключение услуги РТК 8-800","07.10.2021 16:58:25","нет","1132","43","1","Corp YAR-CDMA","21.09.2021 12:13:01","44"
"TT16889156","В работе","20.09.2021 16:58:25","Администрирование","Администрирование B2B","Подключение услуги РТК 8-800","07.10.2021 16:58:25","нет","1132","678","5","Admin СКВО В2В","21.09.2021 12:18:26","708"
"TT16888990","Закрыта","20.09.2021 16:42:46","Администрирование","Администрирование B2B","Создание нового лицевого счета","21.09.2021 16:42:46","нет","972","972","972","B2B Admin","21.09.2021 8:54:44","972"
"TT16888859","Закрыта","20.09.2021 16:30:21","Администрирование","Администрирование B2C","Заявка на замену сим 4G","23.09.2021 16:30:21","нет","1200","1200","1200","OBO","21.09.2021 12:30:04","1200"
"TT16885444","Назначена на группу","20.09.2021 11:29:16","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","20.11.2021 11:29:16","нет","2704","2704","2704","OBO","22.09.2021 8:33:22","2704"
"TT16885959","Закрыта","20.09.2021 12:00:48","Претензия","Контент","Абонент ничего не заказывал","23.09.2021 0:00:48","нет","44","44","44","OBO","20.09.2021 18:28:55","44"
"TT16889168","Закрыта","20.09.2021 16:59:17","Администрирование","Администрирование B2B","Отправка договора с ЭП","24.09.2021 16:59:17","нет","5476","5476","5476","B2B Admin","24.09.2021 12:15:29","5476"
"TT16884260","Назначена на группу","20.09.2021 9:45:55","Претензия","Корпоративная АТС","Прочее","23.09.2021 9:45:55","нет","407","407","407","OBO","24.09.2021 10:47:59","407"
"TT16885235","Закрыта","20.09.2021 11:13:01","Администрирование","Администрирование B2C","Заявка на замену сим 4G","23.09.2021 11:13:01","нет","1185","1185","1185","OBO","21.09.2021 6:58:08","1185"
"TT16888166","Закрыта","20.09.2021 15:14:57","Администрирование","Администрирование B2C","Ошибочный наличный платёж","20.09.2021 23:14:57","нет","43","43","43","OBO","20.09.2021 15:57:11","43"
"TT16887231","Закрыта","20.09.2021 13:36:24","Претензия","Сеть","Поиск сети","23.09.2021 13:36:24","нет","2809","135","55","OBO","22.09.2021 12:25:00","190"
"TT16887231","Закрыта","20.09.2021 13:36:24","Претензия","Сеть","Поиск сети","23.09.2021 13:36:24","нет","2809","1331","1331","Tech SAM","21.09.2021 11:47:47","1331"
"TT16887231","Закрыта","20.09.2021 13:36:24","Претензия","Сеть","Поиск сети","23.09.2021 13:36:24","нет","2809","1288","1288","Tech ORB","22.09.2021 11:30:16","1288"
"TT16883272","Закрыта","20.09.2021 7:23:50","Претензия","Тарификация","Текущие акции компании","24.09.2021 7:23:50","нет","7","7","7","OBO","20.09.2021 7:30:00","7"
"TT16887879","Закрыта","20.09.2021 14:50:10","Администрирование","Администрирование B2C","Перечисление на номер телефона","05.10.2021 14:50:10","нет","2802","2802","2802","OBO","25.09.2021 5:51:59","2802"
"TT16890763","Закрыта","20.09.2021 21:59:31","Претензия","Технологическая заявка","Низкая скорость передачи данных","20.01.2022 13:59:31","нет","302","302","302","Technology TT","21.09.2021 3:01:30","302"
"TT16889444","Закрыта","20.09.2021 17:29:57","Претензия","Тарификация","Роуминг","24.09.2021 17:29:57","нет","8","8","8","OBO","20.09.2021 17:37:57","8"
"TT16888423","Закрыта","20.09.2021 15:42:37","Претензия","Технологическая заявка","Слабое покрытие в помещении","20.01.2022 7:42:37","нет","679","679","679","Technology TT","21.09.2021 3:01:30","679"
"TT16883336","Закрыта","20.09.2021 7:38:59","Администрирование","Администрирование B2C","Корректировка регистрационных данных","22.09.2021 7:38:59","нет","470","470","470","OBO","21.09.2021 14:07:24","470"
"TT16887157","Закрыта","20.09.2021 13:29:22","Претензия","Телефония","Не поступают входящие вызовы","23.09.2021 13:29:22","нет","1354","14","14","Tech HAN","20.09.2021 13:43:17","14"
"TT16887157","Закрыта","20.09.2021 13:29:22","Претензия","Телефония","Не поступают входящие вызовы","23.09.2021 13:29:22","нет","1354","1340","1340","OBO","21.09.2021 12:03:04","1340"
"TT16889888","Закрыта","20.09.2021 18:34:14","Претензия","USSD","Обещанный платеж","24.09.2021 18:34:14","нет","29","29","29","OBO","20.09.2021 19:03:40","29"
"TT16887021","Закрыта","20.09.2021 13:16:36","Администрирование","Администрирование B2C","Корректировка регистрационных данных","22.09.2021 13:16:36","нет","170","170","170","OBO","20.09.2021 16:06:15","170"
"TT16887778","Возвращена на доработку","20.09.2021 14:38:48","Администрирование","Администрирование B2C","Перечисление на банковские реквизиты","05.10.2021 14:38:48","нет","3972","3972","3972","OBO","23.09.2021 8:50:00","3972"
"TT16888755","Закрыта","20.09.2021 16:20:08","Претензия","CCB","Обратная связь на работу оператора КЦ","25.09.2021 16:20:08","нет","1329","1329","1329","Мониторинг","21.09.2021 14:29:04","1329"
"TT16888720","Закрыта","20.09.2021 16:15:37","Претензия","Контент","Абонент ничего не заказывал","23.09.2021 4:15:37","нет","854","854","854","OBO","21.09.2021 6:29:53","854"
"TT16888454","Закрыта","20.09.2021 15:44:51","Претензия","MNP","Перезаведение портации","23.09.2021 15:44:51","нет","13","3","3","Corp VRN","20.09.2021 15:57:56","3"
