#TYPE System.Data.DataRow
"Номер заявки","Статус","Дата регистрации","Тип обращения","Сервис","Краткое описание проблемы","Срок решения","Просрочен","Общее время обработки (мин.)","Максимальное время обработки группой (мин.)","Минимальное время обработки группой (мин.)","Группа","Дата перевода на группу","Время обработки группой (мин.)"
"TT16910163","Закрыта","23.09.2021 10:03:25","Претензия","CCB","Жалоба на сотрудника телемаркетинга","24.09.2021 10:03:25","нет","1018","1018","1018","Technology TT","24.09.2021 3:01:48","1018"
"TT16914738","Закрыта","23.09.2021 17:30:47","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","28.09.2021 17:30:47","нет","197","197","197","OBO","23.09.2021 20:47:57","197"
"TT16911025","Закрыта","23.09.2021 11:15:25","Претензия","Тарификация","Местные вызовы","27.09.2021 11:15:25","нет","149","60","30","OBO","23.09.2021 13:44:07","90"
"TT16911025","Закрыта","23.09.2021 11:15:25","Претензия","Тарификация","Местные вызовы","27.09.2021 11:15:25","нет","149","59","59","NPD_CC_PCI_troubles","23.09.2021 13:14:30","59"
"TT16911329","Закрыта","23.09.2021 11:44:10","Претензия","Технологическая заявка","Низкая скорость передачи данных","23.01.2022 3:44:10","нет","917","917","917","Technology TT","24.09.2021 3:01:48","917"
"TT16915125","Закрыта","23.09.2021 18:24:45","Претензия","Передача данных","Нет соединения 4G","26.09.2021 18:24:45","нет","1136","116","108","OBO","24.09.2021 13:20:58","224"
"TT16915125","Закрыта","23.09.2021 18:24:45","Претензия","Передача данных","Нет соединения 4G","26.09.2021 18:24:45","нет","1136","912","912","Tech ROS","24.09.2021 11:32:32","912"
"TT16914341","Закрыта","23.09.2021 16:41:15","Претензия","Технологическая заявка","Длительные проблемы с сетью","23.09.2022 16:41:15","нет","620","620","620","Technology TT","24.09.2021 3:01:48","620"
"TT16913635","Назначена на группу","23.09.2021 15:24:09","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","03.10.2021 15:24:09","нет","","","","","",""
"TT16909431","Закрыта","23.09.2021 8:29:09","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","23.01.2022 0:29:09","нет","1112","1112","1112","Technology TT","24.09.2021 3:01:48","1112"
"TT16911794","Назначена на группу","23.09.2021 12:15:49","Администрирование","Администрирование B2B","Подключение услуги РТК ШПД","26.09.2021 12:15:49","нет","","","","","",""
"TT16914251","Закрыта","23.09.2021 16:32:44","Администрирование","Документация В2С","Копии документов для Tele2","26.09.2021 16:32:44","нет","2599","2599","2599","OBO","25.09.2021 11:51:10","2599"
"TT16909197","Назначена на группу","23.09.2021 7:46:34","Администрирование","Администрирование B2B","Расторжение договора (полное) - Удержание","24.09.2021 7:46:34","нет","1765","1765","1765","Corp KOM","24.09.2021 13:12:28","1765"
"TT16912816","Закрыта","23.09.2021 14:00:29","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","23.01.2022 6:00:29","нет","781","781","781","Technology TT","24.09.2021 3:01:48","781"
"TT16912526","Закрыта","23.09.2021 13:28:27","Претензия","Мобильные переводы и оплата","Деньги списались, но не поступили получателю","28.09.2021 13:28:27","нет","62","62","62","OBO","24.09.2021 8:13:10","62"
"TT16914822","Закрыта","23.09.2021 17:42:12","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","03.10.2021 17:42:12","нет","1500","1500","1500","OBO","24.09.2021 18:42:29","1500"
"TT16913778","Закрыта","23.09.2021 15:39:04","Администрирование","Администрирование B2C","Корректировка регистрационных данных","25.09.2021 15:39:04","нет","1320","1320","1320","OBO","24.09.2021 13:39:06","1320"
"TT16912431","Закрыта","23.09.2021 13:20:19","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","28.09.2021 13:20:19","нет","113","113","113","OBO","23.09.2021 15:13:50","113"
"TT16909318","Закрыта","23.09.2021 8:10:36","Претензия","Технологическая заявка","Низкая скорость передачи данных","23.01.2022 0:10:36","нет","1131","1131","1131","Technology TT","24.09.2021 3:01:48","1131"
"TT16912588","Закрыта","23.09.2021 13:35:41","Претензия","Передача данных","Нет соединения 4G","26.09.2021 13:35:41","нет","104","104","104","OBO","23.09.2021 15:19:30","104"
"TT16916114","Закрыта","23.09.2021 22:32:02","Претензия","Технологическая заявка","Низкая скорость передачи данных","23.01.2022 14:32:02","нет","269","269","269","Technology TT","24.09.2021 3:01:48","269"
"TT16912524","Закрыта","23.09.2021 13:28:15","Претензия","MNP","Перезаведение портации","26.09.2021 13:28:15","нет","1059","1059","1059","OBO","24.09.2021 7:07:04","1059"
"TT16910071","В работе","23.09.2021 9:57:27","Претензия","Сеть","Поиск сети","07.10.2021 9:57:27","нет","3985","57","57","Tech MOS","23.09.2021 10:54:04","57"
"TT16910071","В работе","23.09.2021 9:57:27","Претензия","Сеть","Поиск сети","07.10.2021 9:57:27","нет","3985","3928","3928","Tech MOS SWS","26.09.2021 4:22:11","3928"
"TT16913460","Закрыта","23.09.2021 15:06:03","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","03.10.2021 15:06:03","нет","2826","2826","2826","OBO","25.09.2021 14:12:30","2826"
"TT16914323","Закрыта","23.09.2021 16:39:49","Администрирование","Администрирование B2C","Ошибочный наличный платёж","24.09.2021 0:39:49","нет","151","151","151","OBO","23.09.2021 19:13:25","151"
"TT16909306","Закрыта","23.09.2021 8:08:19","Претензия","Тарификация","Роуминг","27.09.2021 8:08:19","нет","188","188","188","OBO","23.09.2021 11:16:58","188"
"TT16912456","Закрыта","23.09.2021 13:22:16","MVNO","Сеть (MVNO)","Поиск сети","26.09.2021 13:22:16","нет","1394","1220","1220","Tech MOS NWS","24.09.2021 10:02:34","1220"
"TT16912456","Закрыта","23.09.2021 13:22:16","MVNO","Сеть (MVNO)","Поиск сети","26.09.2021 13:22:16","нет","1394","20","12","OBO","24.09.2021 10:14:31","32"
"TT16912456","Закрыта","23.09.2021 13:22:16","MVNO","Сеть (MVNO)","Поиск сети","26.09.2021 13:22:16","нет","1394","142","142","Tinkoff L2 ","24.09.2021 12:36:57","142"
"TT16916198","Закрыта","23.09.2021 23:20:30","Претензия","Контент","Абонент ничего не заказывал","26.09.2021 11:20:30","нет","556","556","556","OBO","24.09.2021 9:38:50","556"
"TT16916045","Закрыта","23.09.2021 22:03:49","Претензия","Претензии к дилеру","Не выполнена операция клиента","30.09.2021 22:03:49","нет","2169","2169","2169","OBO","25.09.2021 10:12:29","2169"
"TT16911034","Закрыта","23.09.2021 11:16:41","Претензия","CCB","Жалоба на сотрудника телемаркетинга","24.09.2021 11:16:41","нет","945","945","945","Technology TT","24.09.2021 3:01:48","945"
"TT16914640","Закрыта","23.09.2021 17:16:50","Администрирование","Администрирование B2C","Корректировка регистрационных данных","25.09.2021 17:16:50","нет","1242","1242","1242","OBO","24.09.2021 13:58:31","1242"
"TT16914836","Закрыта","23.09.2021 17:43:43","Претензия","Сервисы","АОН/АнтиАОН","27.09.2021 17:43:43","нет","1222","1222","1222","OBO","24.09.2021 14:05:06","1222"
"TT16912629","Закрыта","23.09.2021 13:39:28","Претензия","NPS","Передача данных - Низкая скорость","23.09.2022 13:39:28","нет","801","801","801","NPS","24.09.2021 3:00:25","801"
"TT16916136","Закрыта","23.09.2021 22:42:55","Администрирование","Администрирование B2C","Ошибочный наличный платёж","24.09.2021 6:42:55","нет","644","644","644","OBO","24.09.2021 9:26:58","644"
"TT16912088","Назначена на группу","23.09.2021 12:44:20","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","03.10.2021 12:44:20","нет","","","","","",""
"TT16914407","Закрыта","23.09.2021 16:48:37","Претензия","Контент","Абонент ничего не заказывал","26.09.2021 4:48:37","нет","658","658","658","OBO","25.09.2021 6:42:04","658"
